feature,source,numerator,denominator,sql_expression,unit,grain,interpretation,limitation,recommended_analytical_role
ocs_submissions,OCS,official OCS submissions,none,SUM(ocs_submissions),count,practice-month-weekday-time bucket,recorded online submissions in bucket,not unique patients or all demand,descriptive
ocs_clinical_submissions,OCS,official clinical submissions,none,SUM(ocs_clinical_submissions),count,practice-month-weekday-time bucket,recorded clinical-classified submissions,structurally unavailable before December 2025,descriptive only where present
ocs_administrative_submissions,OCS,official administrative submissions,none,SUM(ocs_administrative_submissions),count,practice-month-weekday-time bucket,recorded administrative-classified submissions,structurally unavailable before December 2025,descriptive only where present
ocs_other_unknown_submissions,OCS,official other/unknown submissions,none,SUM(ocs_other_unknown_submissions),count,practice-month-weekday-time bucket,recorded other/unknown submissions,structurally unavailable before December 2025,audit/descriptive
cbt_inbound_calls,CBT,CBT001,none,SUM(CASE WHEN Indicator='CBT001' THEN Value END),count,practice-month-weekday-time bucket,recorded inbound telephone calls,not unique callers or appointments,sensitivity descriptive
cbt_answered_calls,CBT,CBT003,none,SUM(CASE WHEN Indicator='CBT003' THEN Value END),count,practice-month-weekday-time bucket,answered calls represented by waiting-time breakdown,may differ from CBT007,sensitivity descriptive
cbt_missed_calls,CBT,CBT004,none,SUM(CASE WHEN Indicator='CBT004' THEN Value END),count,practice-month-weekday-time bucket,recorded missed calls,not direct unmet clinical need,sensitivity descriptive
cbt_ivr_exits,CBT,CBT002,none,SUM(CASE WHEN Indicator='CBT002' THEN Value END),count,practice-month-weekday-time bucket,calls ending in IVR,call-flow measure,sensitivity descriptive
cbt_callback_requests,CBT,CBT005,none,SUM(CASE WHEN Indicator='CBT005' THEN Value END),count,practice-month-weekday-time bucket,recorded callback requests,not completed callbacks,sensitivity descriptive
ocs_submissions_per_1000_registered_patient_month,OCS,OCS bucket submissions,monthly OCS registered patients,1000*ocs_submissions/ocs_registered_patients,per 1000 registered patients,practice-month-weekday-time bucket,practice-size-normalised bucket activity,not a day/time population rate,descriptive sensitivity
cbt_inbound_calls_per_1000_registered_patient_month,CBT,CBT001 bucket calls,monthly OCS registered patients,1000*cbt_inbound_calls/ocs_registered_patients,per 1000 registered patients,practice-month-weekday-time bucket,practice-size-normalised bucket calls,not unique callers or a day/time denominator,descriptive sensitivity
ocs_morning_share,OCS,OCS activity 08:00-11:59,total OCS activity,ocs_morning/ocs_total,proportion,practice annual,concentration of recorded OCS activity in morning,depends on reporting completeness,supplementary feature candidate
cbt_morning_share,CBT,CBT001 activity 08:00-11:59,total CBT001 activity,cbt_morning/cbt_total,proportion,practice annual,concentration of recorded inbound calls in morning,April Y60 regional gap,sensitivity feature candidate
ocs_out_of_hours_share,OCS,OCS activity 00:00-07:59 and 18:00-23:59,total OCS activity,ocs_out_of_hours/ocs_total,proportion,practice annual,concentration outside 08:00-17:59,project-defined broad band,supplementary feature candidate
cbt_out_of_hours_share,CBT,CBT001 activity 00:00-07:59 and 18:00-23:59,total CBT001 activity,cbt_out_of_hours/cbt_total,proportion,practice annual,concentration outside 08:00-17:59,April Y60 regional gap,sensitivity feature candidate
